                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.75711,                 1.1664,                0.89459,                0.98013,                0.99603,                0.84211,                0.84524,                0.75917,                0.99603,                0.84211,                0.84524,                0.66851,                0.51844,                 1.5345,                 1.6926,                0.92199,             0.00077333,             0.00077333,             0.00077333
                     25,                0.61254,                 1.1916,                 1.0301,                0.94131,                 0.9962,                0.84211,                0.84524,                0.74455,                 0.9962,                0.84211,                0.84524,                0.68597,                0.58718,                 1.7663,                 1.6744,                0.95308,              0.0007767,              0.0007767,              0.0007767
                     26,                0.67482,                 1.2683,                0.93539,                0.96392,                0.99631,                0.84211,                0.84571,                0.72559,                0.99631,                0.84211,                0.84543,                 0.7053,                0.65398,                 1.6608,                 1.6518,                0.97879,              0.0007777,              0.0007777,              0.0007777
                     27,                0.64162,                 1.0489,                0.84562,                0.93638,                0.99637,                0.84211,                0.84588,                0.74705,                0.99637,                0.84211,                0.84545,                0.70812,                0.62768,                 1.4533,                 1.7056,                0.97261,             0.00077632,             0.00077632,             0.00077632
                     28,                 0.6812,                0.97157,                0.92135,                0.91691,                 0.9963,                0.84211,                0.84589,                0.75411,                 0.9963,                0.84211,                0.84546,                0.69311,                0.63099,                  1.342,                 1.6805,                 0.9758,             0.00077256,             0.00077256,             0.00077256
                     29,                0.55414,                0.99777,                0.82044,                0.92475,                 0.9963,                0.84211,                0.84589,                0.75411,                 0.9963,                0.84211,                0.84546,                0.69311,                0.63099,                  1.342,                 1.6805,                 0.9758,             0.00076643,             0.00076643,             0.00076643
                     30,                0.74053,                 1.1382,                 0.9635,                 0.9447,                0.99615,                0.84211,                0.84583,                0.74946,                0.99615,                0.84211,                0.84552,                0.66962,                0.62668,                 1.3027,                 1.4977,                 1.0139,             0.00075792,             0.00075792,             0.00075792
                     31,                0.71491,                  1.124,                 0.9968,                0.94791,                  0.996,                0.84211,                0.84594,                0.71866,                  0.996,                0.84211,                0.84557,                0.67658,                0.70148,                 1.3501,                 1.5479,                 1.1263,             0.00074704,             0.00074704,             0.00074704
                     32,                 0.6789,                 1.1799,                0.94405,                 0.9655,                0.99552,                0.84211,                0.84595,                0.73784,                0.99552,                0.84211,                0.84558,                0.69217,                0.60285,                 1.3846,                 1.4234,                  1.088,             0.00073378,             0.00073378,             0.00073378
                     33,                0.56516,                0.96543,                0.86209,                 0.9327,                0.99552,                0.84211,                0.84595,                0.73784,                0.99552,                0.84211,                0.84558,                0.69217,                0.60285,                 1.3846,                 1.4234,                  1.088,             0.00071814,             0.00071814,             0.00071814
